;set_id;ver_id;qry_text;qry_base;qry_type;qry_expansion;qry_rank
115852;1919;0;the brothers four darlin' sportin' jenny hq;ARTIST_TITLE;UNIV;hq;10
115902;1919;0;darlin' sportin' jenny hq;TITLE;UNIV;hq;10
115952;1919;0;the brothers four darlin' sportin' jenny text;ARTIST_TITLE;UNIV;text;11
116002;1919;0;darlin' sportin' jenny text;TITLE;UNIV;text;11
116052;1919;0;the brothers four darlin' sportin' jenny remastered;ARTIST_TITLE;UNIV;remastered;12
116102;1919;0;darlin' sportin' jenny remastered;TITLE;UNIV;remastered;12
116152;1919;0;the brothers four darlin' sportin' jenny chords;ARTIST_TITLE;UNIV;chords;13
116196;1919;0;darlin' sportin' jenny chords;TITLE;UNIV;chords;13
116246;1919;0;the brothers four darlin' sportin' jenny full album;ARTIST_TITLE;UNIV;full album;14
116296;1919;0;darlin' sportin' jenny full album;TITLE;UNIV;full album;14
116346;1928;0;the who my generation;ARTIST_TITLE;BASE;;0
116396;1928;0;my generation;TITLE;BASE;;0
116446;1928;0;the who my generation live;ARTIST_TITLE;INDIV;live;0
116496;1928;0;my generation limp bizkit;TITLE;INDIV;limp bizkit;0
116546;1928;0;the who my generation lyrics;ARTIST_TITLE;UNIV;lyrics;0
116596;1928;0;my generation lyrics;TITLE;UNIV;lyrics;0
116646;1928;0;the who my generation full album;ARTIST_TITLE;INDIV;full album;1
116696;1928;0;my generation the who lyrics;TITLE;INDIV;the who lyrics;1
116746;1928;0;the who my generation live;ARTIST_TITLE;UNIV;live;1
116796;1928;0;my generation live;TITLE;UNIV;live;1
116846;1928;0;the who my generation lyrics;ARTIST_TITLE;INDIV;lyrics;2
116896;1928;0;my generation live;TITLE;INDIV;live;2
116946;1928;0;the who my generation cover;ARTIST_TITLE;UNIV;cover;2
116996;1928;0;my generation cover;TITLE;UNIV;cover;2
117046;1928;0;the who my generation bass;ARTIST_TITLE;INDIV;bass;3
117096;1928;0;my generation bass cover;TITLE;INDIV;bass cover;3
117146;1928;0;the who my generation karaoke;ARTIST_TITLE;UNIV;karaoke;3
117196;1928;0;my generation karaoke;TITLE;UNIV;karaoke;3
117246;1928;0;the who my generation smothers brothers;ARTIST_TITLE;INDIV;smothers brothers;4
117296;1928;0;my generation drum cover;TITLE;INDIV;drum cover;4
117346;1928;0;the who my generation reaction;ARTIST_TITLE;UNIV;reaction;4
117396;1928;0;my generation reaction;TITLE;UNIV;reaction;4
117446;1928;0;the who my generation reaction;ARTIST_TITLE;INDIV;reaction;5
117496;1928;0;my generation bass solo;TITLE;INDIV;bass solo;5
117546;1928;0;the who my generation remix;ARTIST_TITLE;UNIV;remix;5
117596;1928;0;my generation remix;TITLE;UNIV;remix;5
117646;1928;0;the who my generation live at leeds;ARTIST_TITLE;INDIV;live at leeds;6
117696;1928;0;my generation green day;TITLE;INDIV;green day;6
117746;1928;0;the who my generation piano;ARTIST_TITLE;UNIV;piano;6
117796;1928;0;my generation piano;TITLE;UNIV;piano;6
117846;1928;0;the who my generation woodstock;ARTIST_TITLE;INDIV;woodstock;7
117896;1928;0;my generation limp bizkit live;TITLE;INDIV;limp bizkit live;7
117946;1928;0;the who my generation instrumental;ARTIST_TITLE;UNIV;instrumental;7
117996;1928;0;my generation instrumental;TITLE;UNIV;instrumental;7
118046;1928;0;the who my generation album;ARTIST_TITLE;INDIV;album;8
118096;1928;0;my generation guitar lesson;TITLE;INDIV;guitar lesson;8
118146;1928;0;the who my generation guitar;ARTIST_TITLE;UNIV;guitar;8
118196;1928;0;my generation guitar;TITLE;UNIV;guitar;8
118246;1928;0;the who my generation monterey pop festival;ARTIST_TITLE;INDIV;monterey pop festival;9
118296;1928;0;my generation oasis;TITLE;INDIV;oasis;9
118346;1928;0;the who my generation guitar lesson;ARTIST_TITLE;UNIV;guitar lesson;9
118396;1928;0;my generation guitar lesson;TITLE;UNIV;guitar lesson;9
118446;1928;0;the who my generation live 1965;ARTIST_TITLE;INDIV;live 1965;10
118496;1928;0;my generation cover;TITLE;INDIV;cover;10
118546;1928;0;the who my generation hq;ARTIST_TITLE;UNIV;hq;10
118596;1928;0;my generation hq;TITLE;UNIV;hq;10
118646;1928;0;the who my generation cover;ARTIST_TITLE;INDIV;cover;11
118696;1928;0;my generation a silent voice;TITLE;INDIV;a silent voice;11
118746;1928;0;the who my generation text;ARTIST_TITLE;UNIV;text;11
118796;1928;0;my generation text;TITLE;UNIV;text;11
118846;1928;0;the who my generation drum cover;ARTIST_TITLE;INDIV;drum cover;12
118896;1928;0;my generation guitar cover;TITLE;INDIV;guitar cover;12
118946;1928;0;the who my generation remastered;ARTIST_TITLE;UNIV;remastered;12
118996;1928;0;my generation remastered;TITLE;UNIV;remastered;12
119046;1928;0;the who my generation chords;ARTIST_TITLE;UNIV;chords;13
119096;1928;0;my generation chords;TITLE;UNIV;chords;13
119146;1928;0;the who my generation full album;ARTIST_TITLE;UNIV;full album;14
119196;1928;0;my generation full album;TITLE;UNIV;full album;14
119246;1944;0;guns n' roses sweet child o' mine;ARTIST_TITLE;BASE;;0
119296;1944;0;sweet child o' mine;TITLE;BASE;;0
119346;1944;0;guns n' roses sweet child o' mine lyrics;ARTIST_TITLE;INDIV;lyrics;0
119396;1944;0;sweet child o' mine cover;TITLE;INDIV;cover;0
119446;1944;0;guns n' roses sweet child o' mine lyrics;ARTIST_TITLE;UNIV;lyrics;0
119496;1944;0;sweet child o' mine lyrics;TITLE;UNIV;lyrics;0
119546;1944;0;guns n' roses sweet child o' mine chords;ARTIST_TITLE;INDIV;chords;1
119596;1944;0;sweet child o' mine acoustic;TITLE;INDIV;acoustic;1
119646;1944;0;guns n' roses sweet child o' mine live;ARTIST_TITLE;UNIV;live;1
119696;1944;0;sweet child o' mine live;TITLE;UNIV;live;1
119746;1944;0;sweet child o' mine karaoke;TITLE;INDIV;karaoke;2
119796;1944;0;guns n' roses sweet child o' mine cover;ARTIST_TITLE;UNIV;cover;2
119846;1944;0;sweet child o' mine cover;TITLE;UNIV;cover;2
119896;1944;0;sweet child o' mine piano;TITLE;INDIV;piano;3
119946;1944;0;guns n' roses sweet child o' mine karaoke;ARTIST_TITLE;UNIV;karaoke;3
119996;1944;0;sweet child o' mine karaoke;TITLE;UNIV;karaoke;3
120046;1944;0;sweet child o' mine instrumental;TITLE;INDIV;instrumental;4
120096;1944;0;guns n' roses sweet child o' mine reaction;ARTIST_TITLE;UNIV;reaction;4
120146;1944;0;sweet child o' mine reaction;TITLE;UNIV;reaction;4
120196;1944;0;sweet child o' mine lyrics;TITLE;INDIV;lyrics;5
120246;1944;0;guns n' roses sweet child o' mine remix;ARTIST_TITLE;UNIV;remix;5
120296;1944;0;sweet child o' mine remix;TITLE;UNIV;remix;5
120346;1944;0;sweet child o' mine step brothers;TITLE;INDIV;step brothers;6
120396;1944;0;guns n' roses sweet child o' mine piano;ARTIST_TITLE;UNIV;piano;6
120446;1944;0;sweet child o' mine piano;TITLE;UNIV;piano;6
120496;1944;0;sweet child o' mine standard tuning;TITLE;INDIV;standard tuning;7
120546;1944;0;guns n' roses sweet child o' mine instrumental;ARTIST_TITLE;UNIV;instrumental;7
120596;1944;0;sweet child o' mine instrumental;TITLE;UNIV;instrumental;7
120646;1944;0;sweet child o' mine live;TITLE;INDIV;live;8
120696;1944;0;guns n' roses sweet child o' mine guitar;ARTIST_TITLE;UNIV;guitar;8
120746;1944;0;sweet child o' mine guitar;TITLE;UNIV;guitar;8
120796;1944;0;sweet child o' mine wedding version;TITLE;INDIV;wedding version;9
120846;1944;0;guns n' roses sweet child o' mine guitar lesson;ARTIST_TITLE;UNIV;guitar lesson;9
120896;1944;0;sweet child o' mine guitar lesson;TITLE;UNIV;guitar lesson;9
120946;1944;0;sweet child o' mine remix;TITLE;INDIV;remix;10
120996;1944;0;guns n' roses sweet child o' mine hq;ARTIST_TITLE;UNIV;hq;10
121046;1944;0;sweet child o' mine hq;TITLE;UNIV;hq;10
121096;1944;0;sweet child o' mine guitar solo;TITLE;INDIV;guitar solo;11
121146;1944;0;guns n' roses sweet child o' mine text;ARTIST_TITLE;UNIV;text;11
121196;1944;0;sweet child o' mine text;TITLE;UNIV;text;11
121246;1944;0;sweet child o' mine backing track;TITLE;INDIV;backing track;12
121296;1944;0;guns n' roses sweet child o' mine remastered;ARTIST_TITLE;UNIV;remastered;12
121346;1944;0;sweet child o' mine remastered;TITLE;UNIV;remastered;12
121396;1944;0;guns n' roses sweet child o' mine chords;ARTIST_TITLE;UNIV;chords;13
121446;1944;0;sweet child o' mine chords;TITLE;UNIV;chords;13
121496;1944;0;guns n' roses sweet child o' mine full album;ARTIST_TITLE;UNIV;full album;14
121546;1944;0;sweet child o' mine full album;TITLE;UNIV;full album;14
121596;1976;0;neil young heart of gold;ARTIST_TITLE;BASE;;0
121646;1976;0;heart of gold;TITLE;BASE;;0
121696;1976;0;neil young heart of gold live;ARTIST_TITLE;INDIV;live;0
121746;1976;0;heart of gold neil young;TITLE;INDIV;neil young;0
121796;1976;0;neil young heart of gold lyrics;ARTIST_TITLE;UNIV;lyrics;0
121846;1976;0;heart of gold lyrics;TITLE;UNIV;lyrics;0
121896;1976;0;neil young heart of gold lyrics;ARTIST_TITLE;INDIV;lyrics;1
121946;1976;0;heart of gold neil young lyrics;TITLE;INDIV;neil young lyrics;1
121996;1976;0;neil young heart of gold live;ARTIST_TITLE;UNIV;live;1
122046;1976;0;heart of gold live;TITLE;UNIV;live;1
122096;1976;0;neil young heart of gold guitar lesson;ARTIST_TITLE;INDIV;guitar lesson;2
122146;1976;0;heart of gold animation;TITLE;INDIV;animation;2
122196;1976;0;neil young heart of gold cover;ARTIST_TITLE;UNIV;cover;2
122246;1976;0;heart of gold cover;TITLE;UNIV;cover;2
122296;1976;0;neil young heart of gold karaoke;ARTIST_TITLE;INDIV;karaoke;3
122346;1976;0;heart of gold lyrics;TITLE;INDIV;lyrics;3
122396;1976;0;neil young heart of gold karaoke;ARTIST_TITLE;UNIV;karaoke;3
122446;1976;0;heart of gold karaoke;TITLE;UNIV;karaoke;3
122496;1976;0;neil young heart of gold reaction;ARTIST_TITLE;INDIV;reaction;4
122546;1976;0;heart of gold karaoke;TITLE;INDIV;karaoke;4
122596;1976;0;neil young heart of gold reaction;ARTIST_TITLE;UNIV;reaction;4
122646;1976;0;heart of gold reaction;TITLE;UNIV;reaction;4
122696;1976;0;neil young heart of gold harmonica;ARTIST_TITLE;INDIV;harmonica;5
122746;1976;0;heart of gold guitar lesson;TITLE;INDIV;guitar lesson;5
122796;1976;0;neil young heart of gold remix;ARTIST_TITLE;UNIV;remix;5
122846;1976;0;heart of gold remix;TITLE;UNIV;remix;5
122896;1976;0;neil young heart of gold cover;ARTIST_TITLE;INDIV;cover;6
122946;1976;0;heart of gold passenger;TITLE;INDIV;passenger;6
122996;1976;0;neil young heart of gold piano;ARTIST_TITLE;UNIV;piano;6
123046;1976;0;heart of gold piano;TITLE;UNIV;piano;6
123096;1976;0;neil young heart of gold album;ARTIST_TITLE;INDIV;album;7
123146;1976;0;heart of gold johnny cash;TITLE;INDIV;johnny cash;7
123196;1976;0;neil young heart of gold instrumental;ARTIST_TITLE;UNIV;instrumental;7
123246;1976;0;heart of gold instrumental;TITLE;UNIV;instrumental;7
123296;1976;0;neil young heart of gold movie;ARTIST_TITLE;INDIV;movie;8
123346;1976;0;heart of gold cover;TITLE;INDIV;cover;8
123396;1976;0;neil young heart of gold guitar;ARTIST_TITLE;UNIV;guitar;8
123446;1976;0;heart of gold guitar;TITLE;UNIV;guitar;8
123496;1976;0;neil young heart of gold remastered;ARTIST_TITLE;INDIV;remastered;9
123546;1976;0;heart of gold one piece;TITLE;INDIV;one piece;9
123596;1976;0;neil young heart of gold guitar lesson;ARTIST_TITLE;UNIV;guitar lesson;9
123646;1976;0;heart of gold guitar lesson;TITLE;UNIV;guitar lesson;9
123696;1976;0;neil young heart of gold full album;ARTIST_TITLE;INDIV;full album;10
123746;1976;0;heart of gold harmonica;TITLE;INDIV;harmonica;10
123791;1976;0;neil young heart of gold hq;ARTIST_TITLE;UNIV;hq;10
123841;1976;0;heart of gold hq;TITLE;UNIV;hq;10
123891;1976;0;neil young heart of gold acoustic;ARTIST_TITLE;INDIV;acoustic;11
123941;1976;0;heart of gold live;TITLE;INDIV;live;11
123991;1976;0;neil young heart of gold text;ARTIST_TITLE;UNIV;text;11
124041;1976;0;heart of gold text;TITLE;UNIV;text;11
124091;1976;0;neil young heart of gold instrumental;ARTIST_TITLE;INDIV;instrumental;12
124141;1976;0;heart of gold passenger lyrics;TITLE;INDIV;passenger lyrics;12
124191;1976;0;neil young heart of gold remastered;ARTIST_TITLE;UNIV;remastered;12
124241;1976;0;heart of gold remastered;TITLE;UNIV;remastered;12
124291;1976;0;neil young heart of gold chords;ARTIST_TITLE;UNIV;chords;13
124341;1976;0;heart of gold chords;TITLE;UNIV;chords;13
124391;1976;0;neil young heart of gold full album;ARTIST_TITLE;UNIV;full album;14
124441;1976;0;heart of gold full album;TITLE;UNIV;full album;14
124491;2023;1;shonen knife i wanna be sedated;ARTIST_TITLE;BASE;;0
124541;2023;1;i wanna be sedated;TITLE;BASE;;0
124591;2023;1;i wanna be sedated ramones official video;TITLE;INDIV;ramones official video;0
124641;2023;1;shonen knife i wanna be sedated lyrics;ARTIST_TITLE;UNIV;lyrics;0
124691;2023;1;i wanna be sedated lyrics;TITLE;UNIV;lyrics;0
124741;2023;1;i wanna be sedated ramones;TITLE;INDIV;ramones;1
124791;2023;1;shonen knife i wanna be sedated live;ARTIST_TITLE;UNIV;live;1
124841;2023;1;i wanna be sedated live;TITLE;UNIV;live;1
124891;2023;1;i wanna be sedated lyrics;TITLE;INDIV;lyrics;2
124941;2023;1;shonen knife i wanna be sedated cover;ARTIST_TITLE;UNIV;cover;2
124991;2023;1;i wanna be sedated cover;TITLE;UNIV;cover;2
125041;2023;1;i wanna be sedated guitar lesson;TITLE;INDIV;guitar lesson;3
125091;2023;1;shonen knife i wanna be sedated karaoke;ARTIST_TITLE;UNIV;karaoke;3
125141;2023;1;i wanna be sedated karaoke;TITLE;UNIV;karaoke;3
125191;2023;1;i wanna be sedated live;TITLE;INDIV;live;4
125241;2023;1;shonen knife i wanna be sedated reaction;ARTIST_TITLE;UNIV;reaction;4
125291;2023;1;i wanna be sedated reaction;TITLE;UNIV;reaction;4
125341;2023;1;i wanna be sedated karaoke;TITLE;INDIV;karaoke;5
125391;2023;1;shonen knife i wanna be sedated remix;ARTIST_TITLE;UNIV;remix;5
125441;2023;1;i wanna be sedated remix;TITLE;UNIV;remix;5
125491;2023;1;i wanna be sedated cover;TITLE;INDIV;cover;6
125541;2023;1;shonen knife i wanna be sedated piano;ARTIST_TITLE;UNIV;piano;6
125591;2023;1;i wanna be sedated piano;TITLE;UNIV;piano;6
125641;2023;1;i wanna be sedated with a gameboy;TITLE;INDIV;with a gameboy;7
125691;2023;1;shonen knife i wanna be sedated instrumental;ARTIST_TITLE;UNIV;instrumental;7
125741;2023;1;i wanna be sedated instrumental;TITLE;UNIV;instrumental;7
125791;2023;1;i wanna be sedated bass;TITLE;INDIV;bass;8
125841;2023;1;shonen knife i wanna be sedated guitar;ARTIST_TITLE;UNIV;guitar;8
125891;2023;1;i wanna be sedated guitar;TITLE;UNIV;guitar;8
125941;2023;1;i wanna be sedated guitar cover;TITLE;INDIV;guitar cover;9
125991;2023;1;shonen knife i wanna be sedated guitar lesson;ARTIST_TITLE;UNIV;guitar lesson;9
126041;2023;1;i wanna be sedated guitar lesson;TITLE;UNIV;guitar lesson;9
126091;2023;1;i wanna be sedated offspring;TITLE;INDIV;offspring;10
126141;2023;1;shonen knife i wanna be sedated hq;ARTIST_TITLE;UNIV;hq;10
126191;2023;1;i wanna be sedated hq;TITLE;UNIV;hq;10
126241;2023;1;i wanna be sedated bass tab;TITLE;INDIV;bass tab;11
126291;2023;1;shonen knife i wanna be sedated text;ARTIST_TITLE;UNIV;text;11
126331;2023;1;i wanna be sedated text;TITLE;UNIV;text;11
126381;2023;1;i wanna be sedated the magicians;TITLE;INDIV;the magicians;12
126431;2023;1;shonen knife i wanna be sedated remastered;ARTIST_TITLE;UNIV;remastered;12
126481;2023;1;i wanna be sedated remastered;TITLE;UNIV;remastered;12
126531;2023;1;shonen knife i wanna be sedated chords;ARTIST_TITLE;UNIV;chords;13
126581;2023;1;i wanna be sedated chords;TITLE;UNIV;chords;13
126631;2023;1;shonen knife i wanna be sedated full album;ARTIST_TITLE;UNIV;full album;14
126681;2023;1;i wanna be sedated full album;TITLE;UNIV;full album;14
126731;2156;0;prince and the revolution purple rain;ARTIST_TITLE;BASE;;0
126781;2156;0;purple rain;TITLE;BASE;;0
126831;2156;0;prince and the revolution purple rain live 1985;ARTIST_TITLE;INDIV;live 1985;0
126881;2156;0;purple rain prince;TITLE;INDIV;prince;0
126931;2156;0;prince and the revolution purple rain lyrics;ARTIST_TITLE;UNIV;lyrics;0
126981;2156;0;purple rain lyrics;TITLE;UNIV;lyrics;0
127031;2156;0;prince and the revolution purple rain full album;ARTIST_TITLE;INDIV;full album;1
127081;2156;0;purple rain super bowl;TITLE;INDIV;super bowl;1
127131;2156;0;prince and the revolution purple rain live;ARTIST_TITLE;UNIV;live;1
127161;2156;0;purple rain live;TITLE;UNIV;live;1
127211;2156;0;prince and the revolution purple rain album;ARTIST_TITLE;INDIV;album;2
127261;2156;0;purple rain future;TITLE;INDIV;future;2
127311;2156;0;prince and the revolution purple rain cover;ARTIST_TITLE;UNIV;cover;2
127361;2156;0;purple rain cover;TITLE;UNIV;cover;2
127411;2156;0;prince and the revolution purple rain movie;ARTIST_TITLE;INDIV;movie;3
127461;2156;0;purple rain lyrics;TITLE;INDIV;lyrics;3
127511;2156;0;prince and the revolution purple rain karaoke;ARTIST_TITLE;UNIV;karaoke;3
127561;2156;0;purple rain karaoke;TITLE;UNIV;karaoke;3
127611;2156;0;prince and the revolution purple rain tour;ARTIST_TITLE;INDIV;tour;4
127641;2156;0;purple rain adam levine;TITLE;INDIV;adam levine;4
127691;2156;0;prince and the revolution purple rain reaction;ARTIST_TITLE;UNIV;reaction;4
127741;2156;0;purple rain reaction;TITLE;UNIV;reaction;4
127791;2156;0;prince and the revolution purple rain lyrics;ARTIST_TITLE;INDIV;lyrics;5
127841;2156;0;purple rain live;TITLE;INDIV;live;5
127891;2156;0;prince and the revolution purple rain remix;ARTIST_TITLE;UNIV;remix;5
127941;2156;0;purple rain remix;TITLE;UNIV;remix;5
127991;2156;0;prince and the revolution purple rain soundtrack;ARTIST_TITLE;INDIV;soundtrack;6
128041;2156;0;purple rain song;TITLE;INDIV;song;6
128091;2156;0;prince and the revolution purple rain piano;ARTIST_TITLE;UNIV;piano;6
128141;2156;0;purple rain piano;TITLE;UNIV;piano;6
128191;2156;0;prince and the revolution purple rain vinyl;ARTIST_TITLE;INDIV;vinyl;7
128241;2156;0;purple rain cover;TITLE;INDIV;cover;7
128291;2156;0;prince and the revolution purple rain instrumental;ARTIST_TITLE;UNIV;instrumental;7
128341;2156;0;purple rain instrumental;TITLE;UNIV;instrumental;7
128391;2156;0;prince and the revolution purple rain 45 record;ARTIST_TITLE;INDIV;45 record;8
128441;2156;0;purple rain karaoke;TITLE;INDIV;karaoke;8
128491;2156;0;prince and the revolution purple rain guitar;ARTIST_TITLE;UNIV;guitar;8
128541;2156;0;purple rain guitar;TITLE;UNIV;guitar;8
128591;2156;0;prince and the revolution purple rain cassette;ARTIST_TITLE;INDIV;cassette;9
128641;2156;0;purple rain movie;TITLE;INDIV;movie;9
128691;2156;0;prince and the revolution purple rain guitar lesson;ARTIST_TITLE;UNIV;guitar lesson;9
128741;2156;0;purple rain guitar lesson;TITLE;UNIV;guitar lesson;9
128791;2156;0;prince and the revolution purple rain live;ARTIST_TITLE;INDIV;live;10
128821;2156;0;purple rain guitar lesson;TITLE;INDIV;guitar lesson;10
128871;2156;0;prince and the revolution purple rain hq;ARTIST_TITLE;UNIV;hq;10
128912;2156;0;purple rain hq;TITLE;UNIV;hq;10
128962;2156;0;prince and the revolution purple rain prince and the revolution. purple rain. 1984;ARTIST_TITLE;INDIV;prince and the revolution. purple rain. 1984;11
129012;2156;0;purple rain soundtrack;TITLE;INDIV;soundtrack;11
129062;2156;0;prince and the revolution purple rain text;ARTIST_TITLE;UNIV;text;11
129112;2156;0;purple rain text;TITLE;UNIV;text;11
129162;2156;0;prince and the revolution purple rain prince and the revolution live purple rain tour;ARTIST_TITLE;INDIV;prince and the revolution live purple rain tour;12
129212;2156;0;purple rain dwight yoakam;TITLE;INDIV;dwight yoakam;12
129230;2156;0;prince and the revolution purple rain remastered;ARTIST_TITLE;UNIV;remastered;12
129280;2156;0;purple rain remastered;TITLE;UNIV;remastered;12
129330;2156;0;prince and the revolution purple rain chords;ARTIST_TITLE;UNIV;chords;13
129380;2156;0;purple rain chords;TITLE;UNIV;chords;13
129430;2156;0;prince and the revolution purple rain full album;ARTIST_TITLE;UNIV;full album;14
129480;2156;0;purple rain full album;TITLE;UNIV;full album;14
129530;2163;0;marilyn cooper, chita rivera & the shark girls america;ARTIST_TITLE;BASE;;0
129546;2163;0;america;TITLE;BASE;;0
129596;2163;0;america american dad;TITLE;INDIV;american dad;0
129646;2163;0;marilyn cooper, chita rivera & the shark girls america lyrics;ARTIST_TITLE;UNIV;lyrics;0
129656;2163;0;america lyrics;TITLE;UNIV;lyrics;0
129706;2163;0;america american idol 2022;TITLE;INDIV;american idol 2022;1
129756;2163;0;marilyn cooper, chita rivera & the shark girls america live;ARTIST_TITLE;UNIV;live;1
129766;2163;0;america live;TITLE;UNIV;live;1
129816;2163;0;america american idol;TITLE;INDIV;american idol;2
129866;2163;0;marilyn cooper, chita rivera & the shark girls america cover;ARTIST_TITLE;UNIV;cover;2
129884;2163;0;america cover;TITLE;UNIV;cover;2
129934;2163;0;america american dad full episode;TITLE;INDIV;american dad full episode;3
129984;2163;0;marilyn cooper, chita rivera & the shark girls america karaoke;ARTIST_TITLE;UNIV;karaoke;3
129994;2163;0;america karaoke;TITLE;UNIV;karaoke;3
130044;2163;0;america american psycho;TITLE;INDIV;american psycho;4
130094;2163;0;marilyn cooper, chita rivera & the shark girls america reaction;ARTIST_TITLE;UNIV;reaction;4
130102;2163;0;america reaction;TITLE;UNIV;reaction;4
130152;2163;0;america america chavez;TITLE;INDIV;chavez;5
130202;2163;0;marilyn cooper, chita rivera & the shark girls america remix;ARTIST_TITLE;UNIV;remix;5
130212;2163;0;america remix;TITLE;UNIV;remix;5
130258;2163;0;america american pie;TITLE;INDIV;american pie;6
130308;2163;0;marilyn cooper, chita rivera & the shark girls america piano;ARTIST_TITLE;UNIV;piano;6
130318;2163;0;america piano;TITLE;UNIV;piano;6
130368;2163;0;america american boy;TITLE;INDIV;american boy;7
130417;2163;0;marilyn cooper, chita rivera & the shark girls america instrumental;ARTIST_TITLE;UNIV;instrumental;7
130427;2163;0;america instrumental;TITLE;UNIV;instrumental;7
130477;2163;0;america america;TITLE;INDIV;america;8
130527;2163;0;marilyn cooper, chita rivera & the shark girls america guitar;ARTIST_TITLE;UNIV;guitar;8
130537;2163;0;america guitar;TITLE;UNIV;guitar;8
130587;2163;0;america american idiot;TITLE;INDIV;american idiot;9
130637;2163;0;marilyn cooper, chita rivera & the shark girls america guitar lesson;ARTIST_TITLE;UNIV;guitar lesson;9
130647;2163;0;america guitar lesson;TITLE;UNIV;guitar lesson;9
130697;2163;0;america 2022;TITLE;INDIV;2022;10
130747;2163;0;marilyn cooper, chita rivera & the shark girls america hq;ARTIST_TITLE;UNIV;hq;10
130757;2163;0;america hq;TITLE;UNIV;hq;10
130807;2163;0;america american idol crew member chips;TITLE;INDIV;american idol crew member chips;11
130857;2163;0;america text;TITLE;UNIV;text;11
130907;2163;0;america american idol 2022 auditions;TITLE;INDIV;american idol 2022 auditions;12
130957;2163;0;marilyn cooper, chita rivera & the shark girls america remastered;ARTIST_TITLE;UNIV;remastered;12
130961;2163;0;america remastered;TITLE;UNIV;remastered;12
131008;2163;0;marilyn cooper, chita rivera & the shark girls america chords;ARTIST_TITLE;UNIV;chords;13
131009;2163;0;america chords;TITLE;UNIV;chords;13
131059;2163;0;marilyn cooper, chita rivera & the shark girls america full album;ARTIST_TITLE;UNIV;full album;14
131064;2163;0;america full album;TITLE;UNIV;full album;14
131114;2195;0;adele rolling in the deep;ARTIST_TITLE;BASE;;0
131164;2195;0;rolling in the deep;TITLE;BASE;;0
131214;2195;0;adele rolling in the deep lyrics;ARTIST_TITLE;INDIV;lyrics;0
131264;2195;0;rolling in the deep karaoke;TITLE;INDIV;karaoke;0
131314;2195;0;adele rolling in the deep lyrics;ARTIST_TITLE;UNIV;lyrics;0
131364;2195;0;rolling in the deep lyrics;TITLE;UNIV;lyrics;0
131414;2195;0;adele rolling in the deep live;ARTIST_TITLE;INDIV;live;1
131464;2195;0;rolling in the deep lyrics;TITLE;INDIV;lyrics;1
131514;2195;0;adele rolling in the deep live;ARTIST_TITLE;UNIV;live;1
131564;2195;0;rolling in the deep live;TITLE;UNIV;live;1
131614;2195;0;adele rolling in the deep karaoke;ARTIST_TITLE;INDIV;karaoke;2
131664;2195;0;rolling in the deep live;TITLE;INDIV;live;2
131714;2195;0;adele rolling in the deep cover;ARTIST_TITLE;UNIV;cover;2
131764;2195;0;rolling in the deep cover;TITLE;UNIV;cover;2
131814;2195;0;adele rolling in the deep live 2021;ARTIST_TITLE;INDIV;live 2021;3
131864;2195;0;rolling in the deep adele;TITLE;INDIV;adele;3
131914;2195;0;adele rolling in the deep karaoke;ARTIST_TITLE;UNIV;karaoke;3
131964;2195;0;rolling in the deep karaoke;TITLE;UNIV;karaoke;3
132014;2195;0;adele rolling in the deep remix;ARTIST_TITLE;INDIV;remix;4
132064;2195;0;rolling in the deep remix;TITLE;INDIV;remix;4
132114;2195;0;adele rolling in the deep reaction;ARTIST_TITLE;UNIV;reaction;4
132164;2195;0;rolling in the deep reaction;TITLE;UNIV;reaction;4
132214;2195;0;adele rolling in the deep cover;ARTIST_TITLE;INDIV;cover;5
132264;2195;0;rolling in the deep cover;TITLE;INDIV;cover;5
132314;2195;0;adele rolling in the deep remix;ARTIST_TITLE;UNIV;remix;5
132364;2195;0;rolling in the deep remix;TITLE;UNIV;remix;5
132414;2195;0;adele rolling in the deep grammy performance 2012;ARTIST_TITLE;INDIV;grammy performance 2012;6
132464;2195;0;rolling in the deep slowed;TITLE;INDIV;slowed;6
132514;2195;0;adele rolling in the deep piano;ARTIST_TITLE;UNIV;piano;6
132564;2195;0;rolling in the deep piano;TITLE;UNIV;piano;6
132614;2195;0;adele rolling in the deep reaction;ARTIST_TITLE;INDIV;reaction;7
132664;2195;0;rolling in the deep lil wayne;TITLE;INDIV;lil wayne;7
132714;2195;0;adele rolling in the deep instrumental;ARTIST_TITLE;UNIV;instrumental;7
132764;2195;0;rolling in the deep instrumental;TITLE;UNIV;instrumental;7
132814;2195;0;adele rolling in the deep slowed;ARTIST_TITLE;INDIV;slowed;8
132864;2195;0;rolling in the deep linkin park;TITLE;INDIV;linkin park;8
132914;2195;0;adele rolling in the deep guitar;ARTIST_TITLE;UNIV;guitar;8
132964;2195;0;rolling in the deep guitar;TITLE;UNIV;guitar;8
133014;2195;0;adele rolling in the deep 2021;ARTIST_TITLE;INDIV;2021;9
133064;2195;0;rolling in the deep edit audio;TITLE;INDIV;edit audio;9
133114;2195;0;adele rolling in the deep guitar lesson;ARTIST_TITLE;UNIV;guitar lesson;9
133164;2195;0;rolling in the deep guitar lesson;TITLE;UNIV;guitar lesson;9
133214;2195;0;adele rolling in the deep instrumental;ARTIST_TITLE;INDIV;instrumental;10
133264;2195;0;rolling in the deep kz tandingan;TITLE;INDIV;kz tandingan;10
